operator_id,total_calls,missed_calls,missed_call_rate,avg_waiting_time,outbound_calls,internal_call_rate,avg_call_duration,classification
919476,2105,992,0.4712589073634204,1745.8047505938243,2105,0.00047505938242280285,3000.0365795724465,Muy ineficaz
919482,1549,721,0.4654615881213686,1455.5655261459005,1549,0.0,4509.208521626856,Muy ineficaz
919490,1803,810,0.4492512479201331,1527.0887409872435,1803,0.0,3607.108153078203,Muy ineficaz
919504,2214,880,0.3974706413730804,1978.4896115627823,2214,0.0,4283.778229448962,Ineficaz parcial
919536,15,10,0.6666666666666666,21.933333333333334,13,0.0,35.13333333333333,Ineficaz parcial
919552,1309,14,0.0106951871657754,660.7379679144385,70,0.002291825821237586,2419.708938120703,Ineficaz parcial
919554,1360,15,0.011029411764705883,680.6191176470588,14,0.0022058823529411764,2050.771323529412,Ineficaz parcial
919790,1818,7,0.0038503850385038503,1210.2530253025302,25,0.0,2352.2266226622664,Ineficaz parcial
919792,913,11,0.012048192771084338,486.01423877327494,84,0.0,1375.0481927710844,Ineficaz parcial
919794,1348,8,0.005934718100890208,1118.7818991097922,21,0.0,2978.439169139466,Ineficaz parcial
919896,8,2,0.25,17.5,0,0.0,120.75,Eficiente
919906,1710,837,0.48947368421052634,1494.033918128655,1710,0.0017543859649122807,4107.117543859649,Muy ineficaz
919910,377,161,0.4270557029177719,345.7771883289125,377,0.0,1301.57824933687,Muy ineficaz
919956,13,0,0.0,10.538461538461538,0,0.07692307692307693,17.46153846153846,Eficiente
919958,2,0,0.0,35.0,0,0.0,38.0,Eficiente
919994,21,0,0.0,79.76190476190476,0,0.0,190.71428571428572,Eficiente
920146,90,38,0.4222222222222222,32.9,90,0.34444444444444444,274.94444444444446,Ineficaz parcial
920414,1266,605,0.47788309636650866,1344.0315955766193,1266,0.0,3916.943917851501,Muy ineficaz
920416,1697,1123,0.661756040070713,1018.9021803182086,1697,0.0,755.8220388921626,Muy ineficaz
920666,509,67,0.13163064833005894,83.97642436149313,305,0.0,930.1630648330059,Eficiente
920706,252,63,0.25,93.7420634920635,171,0.0873015873015873,662.1785714285714,Eficiente
920720,347,77,0.2219020172910663,91.30259365994236,210,0.008645533141210375,474.71757925072046,Eficiente
920726,120,19,0.15833333333333333,41.575,61,0.008333333333333333,371.93333333333334,Eficiente
920728,312,58,0.1858974358974359,102.86217948717949,108,0.07051282051282051,679.6346153846154,Zona media
920732,295,46,0.15593220338983052,135.5050847457627,175,0.013559322033898305,1025.4440677966102,Zona media
920838,256,67,0.26171875,75.35546875,189,0.0078125,541.4453125,Zona media
